ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-12-24,11648059931.52593,8599039811.218561,20022999268.79831,11648059931.52593,11648059931.52593,2771670437.91934,2771670437.91934,2771670437.91934,2132986054.760308,2132986054.760308,2132986054.760308,-153732355.90335253,-153732355.90335253,-153732355.90335253,792416739.0623844,792416739.0623844,792416739.0623844,0.0,0.0,0.0,14419730369.44527
2020-12-28,11618936266.737461,7657761604.464658,19416609419.55052,11618936266.737461,11618936266.737461,1966829847.3705559,1966829847.3705559,1966829847.3705559,2132986054.760308,2132986054.760308,2132986054.760308,142761004.0149872,142761004.0149872,142761004.0149872,-308917211.4047393,-308917211.4047393,-308917211.4047393,0.0,0.0,0.0,13585766114.108017
2020-12-29,11611655350.540344,6871671525.393523,18929419028.526867,11611655350.540344,11611655350.540344,1271153260.8552659,1271153260.8552659,1271153260.8552659,2132986054.760308,2132986054.760308,2132986054.760308,-307212085.63779384,-307212085.63779384,-307212085.63779384,-554620708.2672484,-554620708.2672484,-554620708.2672484,0.0,0.0,0.0,12882808611.39561
2020-12-30,11604374434.343227,6546449746.881761,17949475715.42901,11604374434.343227,11604374434.343227,847804189.7226396,847804189.7226396,847804189.7226396,2132986054.760308,2132986054.760308,2132986054.760308,-507539372.76123345,-507539372.76123345,-507539372.76123345,-777642492.2764353,-777642492.2764353,-777642492.2764353,0.0,0.0,0.0,12452178624.065866
2020-12-31,11597093518.146109,6876645902.924079,18332783030.72075,11597093518.146109,11597093518.146109,1005819184.897422,1005819184.897422,1005819184.897422,2132986054.760308,2132986054.760308,2132986054.760308,-153732355.90826645,-153732355.90826645,-153732355.90826645,-973434513.9546196,-973434513.9546196,-973434513.9546196,0.0,0.0,0.0,12602912703.043531
2021-01-04,11567969853.357641,6359788554.044968,18826551031.675297,11567969853.357641,11567969853.357641,857182503.5516121,857182503.5516121,857182503.5516121,2132986054.760308,2132986054.760308,2132986054.760308,142761004.0159011,142761004.0159011,142761004.0159011,-1418564555.2245972,-1418564555.2245972,-1418564555.2245972,0.0,0.0,0.0,12425152356.909254
2021-01-05,11560688937.160522,5936607737.561777,17918519154.03016,11560688937.160522,11560688937.160522,389603138.9627496,389603138.9627496,389603138.9627496,2132986054.760308,2132986054.760308,2132986054.760308,-307212085.6365236,-307212085.6365236,-307212085.6365236,-1436170830.1610348,-1436170830.1610348,-1436170830.1610348,0.0,0.0,0.0,11950292076.123272
2021-01-06,11553408020.963406,5825448182.185514,17926055266.397675,11553408020.963406,11553408020.963406,209682723.53821287,209682723.53821287,209682723.53821287,2132986054.760308,2132986054.760308,2132986054.760308,-507539372.76128256,-507539372.76128256,-507539372.76128256,-1415763958.4608126,-1415763958.4608126,-1415763958.4608126,0.0,0.0,0.0,11763090744.50162
2021-01-07,11546127104.766287,6320987245.5511675,17921140859.138317,11546127104.766287,11546127104.766287,620600533.1276714,620600533.1276714,620600533.1276714,2132986054.760308,2132986054.760308,2132986054.760308,-153732355.90660757,-153732355.90660757,-153732355.90660757,-1358653165.7260292,-1358653165.7260292,-1358653165.7260292,0.0,0.0,0.0,12166727637.893959
2021-01-08,11538846188.56917,8220448700.594027,19707665602.52487,11538846188.56917,11538846188.56917,2224945488.142707,2224945488.142707,2224945488.142707,2132986054.760308,2132986054.760308,2132986054.760308,1358968902.0554407,1358968902.0554407,1358968902.0554407,-1267009468.6730416,-1267009468.6730416,-1267009468.6730416,0.0,0.0,0.0,13763791676.711876
2021-01-11,11517003439.977818,7061832357.865179,18589578361.14691,11517003439.977818,11517003439.977818,1457561344.809449,1457561344.809449,1457561344.809449,2132986054.760308,2132986054.760308,2132986054.760308,142761004.01518065,142761004.01518065,142761004.01518065,-818185713.9660397,-818185713.9660397,-818185713.9660397,0.0,0.0,0.0,12974564784.787266
2021-01-12,11509722523.7807,7312279937.0943575,19083049864.885452,11509722523.7807,11509722523.7807,1200805405.0515177,1200805405.0515177,1200805405.0515177,2132986054.760308,2132986054.760308,2132986054.760308,-307212085.6352533,-307212085.6352533,-307212085.6352533,-624968564.0735371,-624968564.0735371,-624968564.0735371,0.0,0.0,0.0,12710527928.832218
2021-01-13,11502441607.583584,6998174978.618165,18621269280.864094,11502441607.583584,11502441607.583584,1207071771.2546928,1207071771.2546928,1207071771.2546928,2132986054.760308,2132986054.760308,2132986054.760308,-507539372.7607602,-507539372.7607602,-507539372.7607602,-418374910.744855,-418374910.744855,-418374910.744855,0.0,0.0,0.0,12709513378.838276
2021-01-14,11495160691.386465,7278135910.007291,19457950844.870434,11495160691.386465,11495160691.386465,1775299936.9714186,1775299936.9714186,1775299936.9714186,2132986054.760308,2132986054.760308,2132986054.760308,-153732355.90652436,-153732355.90652436,-153732355.90652436,-203953761.882365,-203953761.882365,-203953761.882365,0.0,0.0,0.0,13270460628.357883
2021-01-15,11487879775.18935,9140563010.780636,20540481238.11666,11487879775.18935,11487879775.18935,3504559355.381518,3504559355.381518,3504559355.381518,2132986054.760308,2132986054.760308,2132986054.760308,1358968902.055196,1358968902.055196,1358968902.055196,12604398.566013588,12604398.566013588,12604398.566013588,0.0,0.0,0.0,14992439130.570868
2021-01-19,11458756110.400879,7865601752.486523,19660866291.400616,11458756110.400879,11458756110.400879,2614903103.801934,2614903103.801934,2614903103.801934,2132986054.760308,2132986054.760308,2132986054.760308,-307212085.63650763,-307212085.63650763,-307212085.63650763,789129134.6781331,789129134.6781331,789129134.6781331,0.0,0.0,0.0,14073659214.202812
2021-01-20,11451475194.203762,7979977368.552837,19569597943.13193,11451475194.203762,11451475194.203762,2561039378.702608,2561039378.702608,2561039378.702608,2132986054.760308,2132986054.760308,2132986054.760308,-507539372.7602382,-507539372.7602382,-507539372.7602382,935592696.7025384,935592696.7025384,935592696.7025384,0.0,0.0,0.0,14012514572.90637
2021-01-21,11444194278.006645,8600728398.754768,20309606619.85907,11444194278.006645,11444194278.006645,3033828750.6904283,3033828750.6904283,3033828750.6904283,2132986054.760308,2132986054.760308,2132986054.760308,-153732355.90486547,-153732355.90486547,-153732355.90486547,1054575051.8349855,1054575051.8349855,1054575051.8349855,0.0,0.0,0.0,14478023028.697073
2021-01-22,11436913361.809528,9929596668.870283,21958757642.9981,11436913361.809528,11436913361.809528,4634949419.193573,4634949419.193573,4634949419.193573,2132986054.760308,2132986054.760308,2132986054.760308,1358968902.0557735,1358968902.0557735,1358968902.0557735,1142994462.377492,1142994462.377492,1142994462.377492,0.0,0.0,0.0,16071862781.003101
2021-01-25,11415070613.218174,8961757856.58129,20983270100.726044,11415070613.218174,11415070613.218174,3481611204.096427,3481611204.096427,3481611204.096427,2132986054.760308,2132986054.760308,2132986054.760308,142761004.01700833,142761004.01700833,142761004.01700833,1205864145.3191104,1205864145.3191104,1205864145.3191104,0.0,0.0,0.0,14896681817.314602
