Date,Close,Volume,CashInflow
,DHER.DE,DHER.DE,
2022-03-21,41.59000015258789,1435885,59718457.36909866
2022-03-22,41.40999984741211,1961785,81237516.55065536
2022-03-23,38.81999969482422,1958001,76009598.22246552
2022-03-24,38.779998779296875,1389899,53900281.52334595
2022-03-25,37.2400016784668,1588709,59163525.82659531
2022-03-28,38.5099983215332,1890539,72804653.71679306
2022-03-29,44.61000061035156,2786263,124295194.13059998
2022-03-30,42.66999816894531,1493672,63734981.50500488
2022-03-31,39.86000061035156,1243676,49572926.11907959
2022-04-01,41.810001373291016,1257104,52559519.96636963
2022-04-04,46.290000915527344,2937051,135956093.4789505
2022-04-05,48.189998626708984,3141882,151407289.26528168
2022-04-06,44.939998626708984,1609115,72313625.89021683
2022-04-07,42.619998931884766,1169958,49863608.71035004
2022-04-08,41.18000030517578,1524707,62787434.72530365
2022-04-11,38.83000183105469,1752514,68050121.82894897
2022-04-12,38.560001373291016,2248848,86715581.96832275
2022-04-13,37.7400016784668,1869168,70542403.45733643
2022-04-14,36.04999923706055,2345093,84540600.86083603
2022-04-19,35.5,1696232,60216236.0
2022-04-20,36.40999984741211,1676711,61049047.254154205
2022-04-21,36.40999984741211,0,0.0
2022-04-22,36.40999984741211,0,0.0
2022-04-25,31.25,2084554,65142312.5
2022-04-26,31.25,0,0.0
2022-04-27,31.25,0,0.0
2022-04-28,31.65999984741211,6619774,209582043.82990265
2022-04-29,33.84000015258789,2924222,98955672.92620087
2022-05-02,33.84000015258789,0,0.0
2022-05-03,35.88999938964844,2112469,75816511.12065125
2022-05-04,33.58000183105469,2064163,69314597.31959534
2022-05-05,30.989999771118164,2812361,87155066.74630165
2022-05-06,30.989999771118164,0,0.0
2022-05-09,30.989999771118164,0,0.0
2022-05-10,25.219999313354492,2731195,68880736.02463722
2022-05-11,25.219999313354492,0,0.0
2022-05-12,27.139999389648438,3460116,93907546.1281128
2022-05-13,27.139999389648438,0,0.0
2022-05-16,29.670000076293945,1461344,43358076.5914917
2022-05-17,30.8799991607666,2167136,66921157.86126709
2022-05-18,28.200000762939453,2015122,56826441.93741608
2022-05-19,28.200000762939453,0,0.0
2022-05-20,29.43000030517578,1244259,36618542.74971771
2022-05-23,29.690000534057617,1514555,44967138.758859634
2022-05-24,28.299999237060547,1558574,44107643.010902405
2022-05-25,28.299999237060547,0,0.0
2022-05-26,33.150001525878906,1656156,54901573.927093506
2022-05-27,33.150001525878906,0,0.0
2022-05-30,33.150001525878906,0,0.0
2022-05-31,35.7400016784668,2433388,86969291.20436096
2022-06-01,35.7599983215332,1670734,59745445.035728455
2022-06-02,35.7599983215332,0,0.0
2022-06-03,35.7599983215332,0,0.0
2022-06-06,40.040000915527344,1511583,60523784.70389557
2022-06-07,40.150001525878906,1528225,61358236.08188629
2022-06-08,40.79999923706055,1323204,53986722.190475464
2022-06-09,38.790000915527344,1594523,61851548.62982941
2022-06-10,38.02000045776367,2317239,88101427.84074783
2022-06-13,33.279998779296875,1879891,62562770.18521118
2022-06-14,31.829999923706055,1763383,56128480.755464554
2022-06-15,34.72999954223633,1678728,58302222.67153931
2022-06-16,31.34000015258789,1936518,60690474.4154892
2022-06-17,35.13999938964844,6434931,226123471.4124298
2022-06-20,36.47999954223633,1542487,56269925.05390549
2022-06-21,34.0,1595931,54261654.0
2022-06-22,35.220001220703125,1398573,49257742.76724243
2022-06-23,38.13999938964844,1179022,44967898.36038208
2022-06-24,39.59000015258789,1739047,68848870.99535751
2022-06-27,38.720001220703125,1251546,48459862.64776611
2022-06-28,36.0,1185349,42672564.0
2022-06-29,35.25,1326569,46761557.25
2022-06-30,35.77000045776367,929940,33263954.22569275
2022-07-01,38.209999084472656,1167223,44599589.76137543
2022-07-04,35.099998474121094,860672,30209585.88671875
2022-07-05,35.66999816894531,856870,30564551.33102417
2022-07-06,34.20000076293945,2014645,68900860.53705215
2022-07-07,38.81999969482422,1230091,47752132.24460602
2022-07-08,38.81999969482422,886494,34413696.8094635
2022-07-11,38.66999816894531,783333,30291485.67567444
2022-07-12,38.66999816894531,0,0.0
2022-07-13,37.38999938964844,838735,31360301.138076782
2022-07-14,36.880001068115234,753896,27803685.285247803
2022-07-15,36.16999816894531,484624,17528849.192626953
2022-07-18,39.060001373291016,1075057,41991727.89636612
2022-07-19,38.58000183105469,1048761,40461201.300338745
2022-07-20,41.61000061035156,2457113,102240473.42970276
2022-07-21,41.349998474121094,795907,32910753.235542297
2022-07-22,43.65999984741211,2851568,124499458.44488525
2022-07-25,44.790000915527344,1168018,52315527.28935242
2022-07-26,43.38999938964844,743707,32269446.27607727
2022-07-27,45.04999923706055,491426,22138740.925071716
2022-07-28,45.119998931884766,605568,27323227.513183594
2022-07-29,46.90999984741211,865266,40589627.927970886
2022-08-01,47.810001373291016,665883,31835867.14445114
2022-08-02,48.09000015258789,931336,44787948.382110596
2022-08-03,51.36000061035156,1222085,62766286.34590149
2022-08-04,51.36000061035156,0,0.0
2022-08-05,50.2599983215332,823784,41403382.45730591
2022-08-08,49.900001525878906,621569,31016294.048439026
2022-08-09,46.869998931884766,887730,41607904.15180206
2022-08-10,49.0,736027,36065323.0
2022-08-11,49.86000061035156,646407,32229853.414535522
2022-08-12,50.15999984741211,494469,24802564.96455002
2022-08-15,49.959999084472656,487887,24374834.07332611
2022-08-16,52.68000030517578,1819703,95861954.59532928
2022-08-17,51.439998626708984,808961,41612952.72906113
2022-08-18,50.65999984741211,430448,21806495.614318848
2022-08-19,50.68000030517578,1188566,60236525.24272156
2022-08-22,47.06999969482422,581016,27348422.94268799
2022-08-23,47.779998779296875,435272,20797295.62866211
2022-08-24,47.849998474121094,465908,22293697.08908081
2022-08-25,45.72999954223633,659235,30146816.248226166
2022-08-26,42.40999984741211,785260,33302876.480178833
2022-08-29,43.41999816894531,526070,22841958.43673706
2022-08-30,43.09000015258789,538579,23207369.192180634
2022-08-31,41.5,910552,37787908.0
2022-09-01,39.56999969482422,589184,23314010.700195312
2022-09-02,41.439998626708984,581674,24104569.76119232
2022-09-05,41.22999954223633,442279,18235162.96754074
2022-09-06,44.400001525878906,917689,40745393.00028229
2022-09-07,44.93000030517578,540415,24280846.11492157
2022-09-08,46.2400016784668,504336,23320497.48651123
2022-09-09,49.08000183105469,703048,34505597.127319336
2022-09-12,50.0,822824,41141200.0
2022-09-13,46.16999816894531,794090,36663133.84597778
2022-09-14,48.06999969482422,572200,27505653.825378418
2022-09-15,45.279998779296875,886785,40153623.71749878
2022-09-16,44.15999984741211,1818090,80286854.12258148
2022-09-19,42.2599983215332,420517,17771047.714176178
2022-09-20,42.900001525878906,811898,34830425.43885803
2022-09-21,42.970001220703125,464547,19961585.157073975
2022-09-22,40.79999923706055,918782,37486304.89902496
2022-09-23,38.119998931884766,933065,35568436.80337906
2022-09-26,37.380001068115234,653726,24436278.5782547
2022-09-27,37.939998626708984,1176999,44655340.44363785
2022-09-28,38.790000915527344,683283,26504548.19556427
2022-09-29,36.040000915527344,646500,23299860.591888428
2022-09-30,37.939998626708984,702859,26666469.49477005
2022-10-03,37.400001525878906,648815,24265681.990013123
2022-10-04,40.5,667315,27026257.5
2022-10-05,38.130001068115234,521009,19866073.72649765
2022-10-06,39.41999816894531,405187,15972470.798080444
2022-10-07,36.810001373291016,444056,16345701.969818115
2022-10-10,34.150001525878906,948866,32403775.347854614
2022-10-11,33.33000183105469,800343,26675433.6554718
2022-10-12,32.83000183105469,946195,31063583.58253479
2022-10-13,32.0,825355,26411360.0
2022-10-14,31.889999389648438,591544,18864337.798950195
2022-10-17,34.79999923706055,845392,29419640.95501709
2022-10-18,35.650001525878906,730785,26052486.365089417
2022-10-19,35.709999084472656,496337,17724193.815589905
2022-10-20,36.75,575460,21148155.0
2022-10-21,34.2599983215332,648296,22210619.87185669
2022-10-24,34.04999923706055,466730,15892156.143913269
2022-10-25,36.16999816894531,659743,23862903.101974487
2022-10-26,37.130001068115234,492706,18294174.306266785
2022-10-27,34.13999938964844,799752,27303532.791870117
2022-10-28,32.7400016784668,571943,18725414.779987335
2022-10-31,33.349998474121094,560414,18689806.0448761
2022-11-01,35.84000015258789,1250644,44823081.15083313
2022-11-02,33.869998931884766,678589,22983808.70518875
2022-11-03,32.900001525878906,645945,21251591.48563385
2022-11-04,35.220001220703125,1072960,37789652.509765625
2022-11-07,34.7599983215332,706292,24550708.73451233
2022-11-08,35.33000183105469,930253,32865840.193344116
2022-11-09,34.81999969482422,816704,28437633.03076172
2022-11-10,41.310001373291016,2110392,87180296.41818237
2022-11-11,44.95000076293945,1736533,78057159.67486954
2022-11-14,45.58000183105469,1014648,46247657.69787598
2022-11-15,44.52000045776367,1020973,45453718.42736435
2022-11-16,43.95000076293945,821896,36122329.827056885
2022-11-17,44.290000915527344,522039,23121107.78794098
2022-11-18,44.189998626708984,704143,31116078.203006744
2022-11-21,42.25,688976,29109236.0
2022-11-22,40.790000915527344,561233,22892694.583824158
2022-11-23,40.41999816894531,449701,18176913.596572876
2022-11-24,41.70000076293945,376241,15689249.987049103
2022-11-25,40.45000076293945,391742,15845964.198875427
